type,name,label::English,label::Arabic,relevant,constraint,required,repeat_count,constraint_message:English,constraint_message::Arabic,read_only,appearance,choice_filter,default,calculation,hint::English,hint::Arabic
select_one yes_no,ref_docs,31.1 Would you like us to get your contact information to refer you to legal support services?,?? ??? ?? ???? ??? ??????? ??????? ?????? ?? ??????? ??? ????? ????? ??????????,"not(selected(${passport_a18}, 'yes') or selected(${id_card_a18}, 'yes') or selected(${citizenship_a18}, 'yes') or selected(${birth_cert_a18}, 'yes') or selected(${passport_u18}, 'yes')  or selected(${passport_u18}, 'no_one') or selected(${id_card_u18}, 'yes') or selected(${id_card_u18}, 'no_one') or selected(${citizenship_u18}, 'yes') or selected(${citizenship_u18}, 'no_one'))",,TRUE,,,,,,,,,,
text,referral_contact,"31.2 Referral, name and contact information",??????? ?????? ???????? ???????,"selected(${ref_docs},'yes')",,TRUE,,,,,,,,,,
begin group,restrictions,"32.0 In the past month, has anyone in your HH experienced restrictions in their ability to move freely in your area in day light? ",?? ????? ?????? ? ?? ???? ?? ??? ?? ????? ?? ???? ?? ?????? ????? ?? ?????? ????? ???????,,,yes,,,,,field-list,,,,,
select_one yndd,restriction_clearance,32.1 Needing to obtain security clearance / coupons,?????? ??? ?????? ??? ????? ???? / ???????,,,yes,,,,,,,,,,
select_one yndd,restriction_documents,32.2 Needing to show ID documents to civilian authorities or security actors,?????? ??? ????? ????? ?????? ??????? ??????? ?? ?????? ???????,,,yes,,,,,,,,,,
select_one yndd,restriction_time,32.3 Time restrictions on when to leave and return,???? ?? ???????? ?? ??? ??? ???????? ???????,,,yes,,,,,,,,,,
select_one yndd,restriction_reason,"32.4 Needing to provide a specific reason for movement (employment, medical, school)",?????? ??? ????? ??? ???? ?????? (??????? ? ????? ???? ? ???????),,,yes,,,,,,,,,,
select_one yndd,restriction_physical,32.5 Physical road blocks,????? ??? ???????,,,yes,,,,,,,,,,
select_one yndd,restriction_other,32.6 Other,????,,,yes,,,,,,,,,,
end group,,,,,,,,,,,,,,,,
text,restriction_type_other,"32.7 If other, please specify",??? ????? ?????? ???????,"selected(${restriction_other},'yes')",,yes,,You cannot select more than 3 options.,?????? ????? ???? ?? 3 ??????,,,,,,,
select_multiple unsafe_areas,unsafe_areas,33.0 What areas do women and girls in your community avoid or feel unsafe?,???? ??????? ???? ??????? ?????? ???????? ?? ?????? ?? ?? ????? ??????? ?????,,"if(selected(.,'do_not_know'), count-selected(.)=1, count-selected(.)>=1)",yes,,,,,,,,,,
select_one yndd,family_separated,33.10 Is anyone in your family separated because of the 2014 conflict?,  ?? ????? ?? ??? ?? ?????? ???? ???? 2014?,,,yes,,,,,,,,,,
select_one yndd,family_separated_reunification,"33.11 If yes, have you/they taken steps to facilitate reunification?",??? ???? ?? ?????? ?? ?????? ????? ??? ??? ??????? ??????,"selected(${family_separated},'yes')",,yes,,,,,,,,,,
select_one yndd,voting_eligibility,33.12 Is every eligible person over 18 registered to vote in your household?,?? ?? ??? ???? ???? ?? ??18 ???? ?? ????? ???? ????????,,,yes,,,,,,,,,,
end group,,,,,,,,,,,,,,,,
begin group,food_security,Food security survey,??? ??????,${calc_noteligible} = 0,,,,,,,,,,,,
begin group,fcs,"58.0 Over the last 7 days, how many days did your household consume the following food? ","??? ??? ??7 ???? ???????, ?? ???? ??? ?????? ??????? ???????:",,,,,,,,field-list,,,,,
integer,cereals,"58.1 Cereals, grains, roots and tubers: rice, pasta, bread, potato, ",?????? ??????? ????????: ????? ?????????? ?????? ????????,,.>=0 and .<=7,yes,,,,,,,,,,
integer,nuts_seed,"58.2 Legumes / nuts : beans, peanuts, lentils, nut, soy, and / or other nuts",????????? : ????????? ? ????? ???????? ? ????? ? ?????? ? ?????? ? ? / ?? ???????? ??????,,.>=0 and .<=7,yes,,,,,,,,,,
integer,milk_dairy,"58.3 Milk and other dairy products: fresh milk / sour, yogurt, cheese, other dairy products (Exclude margarine / butter or small amounts of milk for tea / coffee)",?????? ??????? ??????? ??????: ?????? ?????? / ?????? ?????? ??????? ?????? ?????? ?? ?????? ??????? (???????? ????????? / ????? ?? ????? ????? ?? ?????? ????? / ??????),,.>=0 and .<=7,yes,,,,,,,,,,
integer,meat,"58.4 Meat, fish and eggs: goat, beef, chicken, fish, including canned tuna, and / or other seafood, eggs (meat and fish consumed in large quantities and not as a condiment) ",?????? ???????? ??????: ??? ?????? ???? ????? ??????? ???????? ? ??? ?? ??? ?????? ??????? ? ? / ?? ????? ?? ????????? ??????? ?????? (?????? ???????? ????????? ?????? ????? ???? ????),,.>=0 and .<=7,yes,,,,,,,,,,
integer,vegetables,"58.5 Vegetables and leaves: spinach, onion, tomatoes, carrots, peppers, green beans, lettuce, cabbages, egg plants, etc",?????? ? ???????? ???????: ??????? ? ????? ? ??????? ? ????? ? ?????? ? ????????? ??????? ? ???? ? ?????? ? ????????? ? ???,,.>=0 and .<=7,yes,,,,,,,,,,
integer,fruits,"58.6 Fruits: banana, apple, lemon, mango, watermelon, apricot, peach, pineapple, passion, gishta, orange, avocado, wild fruits etc",???????: ????? ??????? ???????? ???????? ??????? ??????? ?????? ????????? ????????? ?????????? ???????? ?????? ???,,.>=0 and .<=7,yes,,,,,,,,,,
integer,oil_fats,"58.7 Oil / fat / butter: vegetable oil, palm oil, margarine, other fats / oil",?????? / ?????? / ??????: ????? ??????? ???? ?????? ?????? ??????? ?????? / ?????,,.>=0 and .<=7,yes,,,,,,,,,,
integer,sweets,"58.8 Sugar, or sweet: sugar, honey, jam, cakes, candy, cookies, pastries, cakes and other sweet (sugary drinks)",????? ? ?? ?????: ????? ? ?????? ? ??????? ? ?????? ? ???????  ?????? ?? ???????? (????????? ???????),,.>=0 and .<=7,yes,,,,,,,,,,
integer,spices_condiments,"58.9 Condiments / Spices: tea, coffee / cocoa, salt, garlic, spices, yeast / baking powder, lanwin, tomato / sauce, meat or fish as a condiment, condiments including small amount of milk / tea coffee.",??????? / ????????: ????? ? ?????? / ??????? ? ????? ? ????? ? ???????? ? ??????? / ????? ????? ? ???????? ? ??????? / ?????? ? ????? ?? ????? ????? ? ??????? ??? ?? ??? ???? ????? ?? ?????? / ?????.,,.>=0 and .<=7,yes,,,,,,,,,,
end group,,,,,,,,,,,,,,,,
begin group,food_source,59.0 What was the main source of the following food in the past 7 days? (do not read out list),???? ??? ?????? ??????? ?????? ???? ?? 7 ???? ???????? ( ?? ???? ?? ??????? ) ,,,,,,,,,,,,,
select_one food_source,cereals_source,"59.1 Cereals, grains, roots and tubers: rice, pasta, bread, potato, ",?????? ??????? ????????: ????? ?????????? ?????? ????????,${cereals} > 0,,yes,,,,,minimal,,,,,
select_one food_source,nuts_seed_source,"59.2 Legumes / nuts : beans, peanuts, lentils, nut, soy, and / or other nuts",????????? : ????????? ? ????? ???????? ? ????? ? ?????? ? ?????? ? ? / ?? ???????? ??????,${nuts_seed} > 0,,yes,,,,,minimal,,,,,
select_one food_source,milk_dairy_source,"59.3 Milk and other dairy products: fresh milk / sour, yogurt, cheese, other dairy products (Exclude margarine / butter or small amounts of milk for tea / coffee)",?????? ??????? ??????? ??????: ?????? ?????? / ?????? ?????? ??????? ?????? ?????? ?? ?????? ??????? (???????? ????????? / ????? ?? ????? ????? ?? ?????? ????? / ??????),${milk_dairy} > 0,,yes,,,,,minimal,,,,,
select_one food_source,meat_source,"59.4 Meat, fish and eggs: goat, beef, chicken, , fish, including canned tuna, and / or other seafood, eggs (meat and fish consumed in large quantities and not as a condiment)",?????? ???????? ??????: ??? ?????? ???? ????? ??????? ???????? ? ??? ?? ??? ?????? ??????? ? ? / ?? ????? ?? ????????? ??????? ?????? (?????? ???????? ????????? ?????? ????? ???? ????),${meat} > 0,,yes,,,,,minimal,,,,,
select_one food_source,vegetables_source,"59.5 Vegetables and leaves: spinach, onion, tomatoes, carrots, peppers, green beans, lettuce, cabbages, egg plants, etc",?????? ? ???????? ???????: ??????? ? ????? ? ??????? ? ????? ? ?????? ? ????????? ??????? ? ???? ? ?????? ? ????????? ? ???,${vegetables} > 0,,yes,,,,,minimal,,,,,
select_one food_source,fruits_source,"59.6 Fruits: banana, apple, lemon, mango, watermelon, apricot, peach, pineapple, passion, gishta, orange, avocado, wild fruits etc",???????: ????? ??????? ???????? ???????? ??????? ??????? ?????? ????????? ????????? ?????????? ???????? ?????? ???,${fruits} > 0,,yes,,,,,minimal,,,,,
select_one food_source,oil_fats_source,"59.7 Oil / fat / butter: vegetable oil, palm oil, margarine, other fats / oil",?????? / ?????? / ??????: ????? ??????? ???? ?????? ?????? ??????? ?????? / ?????,${oil_fats} > 0,,yes,,,,,minimal,,,,,
select_one food_source,sweets_source,"59.8 Sugar, or sweet: sugar, honey, jam, cakes, candy, cookies, pastries, cakes and other sweet (sugary drinks)",????? ? ?? ?????: ????? ? ?????? ? ??????? ? ?????? ? ???????  ?????? ?? ???????? (????????? ???????),${sweets} > 0,,yes,,,,,minimal,,,,,
select_one food_source,spices_condiments_source,"59.9 Condiments / Spices: tea, coffee / cocoa, salt, garlic, spices, yeast / baking powder, lanwin, tomato / sauce, meat or fish as a condiment, condiments including small amount of milk / tea coffee.",??????? / ????????: ????? ? ?????? / ??????? ? ????? ? ????? ? ???????? ? ??????? / ????? ????? ? ???????? ? ??????? / ?????? ? ????? ?? ????? ????? ? ??????? ??? ?? ??? ???? ????? ?? ?????? / ?????.,${spices_condiments} > 0,,yes,,,,,minimal,,,,,
end group,,,,,,,,,,,,,,,,
text,cereals_source_other,"59.10 If other, please describe","??? ??? ?????? ??? ,?????? ????? ","selected(${cereals_source}, 'other')",,yes,,,,,,,,,,
text,nuts_seed_source_other,"59.11 If other, please describe","??? ??? ?????? ??? ,?????? ????? ","selected(${nuts_seed_source}, 'other')",,yes,,,,,,,,,,
text,milk_dairy_source_other,"59.12 If other, please describe","??? ??? ?????? ??? ,?????? ????? ","selected(${milk_dairy_source}, 'other')",,yes,,,,,,,,,,
text,meat_source_other,"59.13 If other, please describe","??? ??? ?????? ??? ,?????? ????? ","selected(${meat_source}, 'other')",,yes,,,,,,,,,,
text,vegetables_source_other,"59.14 If other, please describe","??? ??? ?????? ??? ,?????? ????? ","selected(${vegetables_source}, 'other')",,yes,,,,,,,,,,
text,fruits_source_other,"59.15 If other, please describe","??? ??? ?????? ??? ,?????? ????? ","selected(${fruits_source}, 'other')",,yes,,,,,,,,,,
text,oil_fats_source_other,"59.16 If other, please describe","??? ??? ?????? ??? ,?????? ????? ","selected(${oil_fats_source}, 'other')",,yes,,,,,,,,,,
text,sweets_source_other,"59.17 If other, please describe","??? ??? ?????? ??? ,?????? ????? ","selected(${sweets_source}, 'other')",,yes,,,,,,,,,,
text,spices_condiments_source_other,"59.18 If other, please describe","??? ??? ?????? ??? ,?????? ????? ","selected(${spices_condiments_source}, 'other')",,yes,,,,,,,,,,
begin group,coping_strategies_index,"60.0 During the last 7 days, how many times (in days) did your household have to employ one of the following strategies to cope with a lack of food or money to buy it?",???? ?????? ?????? ??????? ? ?? ??? ?????? (???????) ???? ??? ????? ??? ????? ??????? ???? ????????????? ?? ????? ??????? ??????? ?? ??? ?????? ?? ????? ????????,,,,,,,,field-list,,,,,
integer,cheaper_quality,60.1 Shifting toward cheaper and less quality food items.,????? ??? ???? ???? ??????  ????? ?? ??? ?????,,.>=0 and .<=7,yes,,,,,,,,,,
integer,borrowing,60.2 Borrowing food or asking assistance from relatives and friends,?????? ?????? ?? ??? ???????? ?? ??????? ?????????,,.>=0 and .<=7,yes,,,,,,,,,,
integer,reduce_meals,60.3 Reducing the number of daily meals,????? ??? ??????? ???????,,.>=0 and .<=7,yes,,,,,,,,,,
integer,less_food,60.4 Consume less food during meals,??????? ???? ??? ?? ?????? ????? ???????,,.>=0 and .<=7,yes,,,,,,,,,,
integer,less_adult,60.5 Curbing the adult's need to ensure food need of children,???? ?? ???? ?????? ????? ?????? ???????? ???????...,,.>=0 and .<=7,yes,,,,,,,,,,
end group,,,,,,,,,,,,,,,,
begin group,coping_strategies_food2,Coping Strategies Food,??? ??????? ?? ??? ??????,,,,,,,,field-list,,,,,
note,livelihood_strategies,"61.0 During the past 30 days, did anyone in your household have to do one of the following things because there was not enough food or money to buy it?",???? ???????? ????? ??????? ? ?? ???? ?? ??? ?? ????? ??? ?????? ???? ?????? ??????? ???? ???? ?? ???? ?? ?????? ?? ????? ???????,,,,,,,,,,,,,
select_one nnny,selling_assets,"61.1 Selling household properties (refrigerator, television, jewelry…)",??? ??????? ?????? (????? ?? ????? ?? ???????),,,yes,,,,,minimal,,,,,
select_one nnny,borrow_debt,61.2 Buying food on credit or through borrowed money from relatives and friends,???? ?????? ??????? ?? ?? ???? ??????? ???????? ?? ??????? ?????????,,,yes,,,,,minimal,,,,,
select_one nnny,selling_transportation_means,"61.3 Selling means of transport (car, motorbike",??? ????? ????? (????? ? ????? ?????,,,yes,,,,,minimal,,,,,
select_one nnny,child_dropout_school,61.4 Children dropout from school,????? ??????? ?? ???????,,,yes,,,,,minimal,,,,,
select_one nnny,reduce_spending,"61.5 Reducing expenditure on non-food items (health, education)",??? ??????? ??? ?????? ??? ???????? (????? ????????),,,yes,,,,,minimal,,,,,
select_one nnny,spending_savings,61.6 Spending savings,????? ????????,,,yes,,,,,minimal,,,,,
select_one nnny,change_place,61.7 Changing place of residence and accommodation to reduce expenses,????? ???? ??????? ?????? ???????,,,yes,,,,,minimal,,,,,
select_one nnny,adult_risky,61.8 Accepting that adults engage in risky behavior,???? ?????? ???????? ?? ????  ?? ????? ?????? ????????,,,,,,,,minimal,,,,,
select_one nnny,child_work,61.9 Children under 18 work to provide resources,??? ??????? ??? ?? 18 ????? ?????? ???????,,,yes,,,,,minimal,,,,,
select_one nnny,family_migrating,61.10 Whole family are migrating,?????? ??????? ????,,,yes,,,,,minimal,,,,,
select_one nnny,child_forced_marriage,61.11 Children or adult forcefully marriaged,???? ??????? ?? ???????? ??????,,,yes,,,,,minimal,,,,,
end group,,,,,,,,,,,,,,,,
end group,,Health survey,,,,,,,,,,,,,,
begin group,health_group,Health,?????,${calc_noteligible} = 0,,,,,,,,,,,,
select_one distance,distance_health_service,"62. How far is the closest functioning, accessible health clinic to your location?",?? ????  ???? ????? ???? ???? ????? ?????? ????? ?? ??????,,,yes,,,,,,,,,30 minutes walking = 2 km (approximately),????? ??? ?? ??????? 2?? ???? ??????30  
select_one distance_h,distance_hospital,63. How far is the closest functioning hospital to your location? ,?? ???? ???? ?????? ???? ??? ??????,,,yes,,,,,,,,,30 minutes walking = 2 km (approximately),????? ??? ?? ??????? 2?? ???? ??????30  
select_one ynd,hospital_emergency_ser,64. Does it provide emergency services? ,?? ???? ?????? ????? ????????,"not(selected(${distance_hospital},'none') or selected(${distance_hospital},'do_not_know'))",,yes,,,,,,,,,,
select_one ynd,hospital_maternity_ser,65. Does it provide maternity services? ,?? ???? ??? ?????? ????? ????????,"not(selected(${distance_hospital},'none') or selected(${distance_hospital},'do_not_know'))",,yes,,,,,,,,,,
select_one ynd,hospital_surgical_ser,66. Does it provide surgical services? ,?? ???? ?????? ????? ???????,"not(selected(${distance_hospital},'none') or selected(${distance_hospital},'do_not_know'))",,yes,,,,,,,,,,
select_one ynd,hospital_pediatric_ser,67. Does it provide pediatric services?,?? ???? ?????? ????? ?? ????????,"not(selected(${distance_hospital},'none') or selected(${distance_hospital},'do_not_know'))",,yes,,,,,,,,,,
select_one yndd,women_specialised_services,68.0 Do women of reproductive age (12-49) have access to specialized reproductive health services? ,?? ???? ?????? ?? ?? ??????? (12-49) ??? ??? ????? ????? ????????? ???????? ????,,,yes,,,,,,,,,,
text,primary_health_provider_pregnant_other,"68.1 if other, please specify",??? ???? ?????? ?????,"selected(${women_specialised_services},'other')",,yes,,,,,,,,,,
select_one yes_no,hh_member_distress,"69.0 Does any members of your household suffer in the last 30 days and show signs of psychosocial distress or trauma such as nightmare, lasting sadness, extreme fatigue, being often tearful or extreme anxiety?",?? ????? ?? ??? ?? ????? ????? ???? ???????? ????? ??????? ?? ?????? ???????? ?????? - ????????? ?? ??????? ??????? ??? ??????? ?? ????? ?????? ?? ????? ?????? ?? ??????  ?????? ???? ?????? ?? ????? ?????? ?? ???? ????????,,,yes,,,,,,,,,,
integer,child_distress_number,"69.1 If yes, how many persons under 18 years showed those signs?",??? ???? ??????? ???? ? ??? ?? ??????? ????? ??? ??????? ?? 18 ??? ?????? ??? ?????????,"selected(${hh_member_distress},'yes')",.<=${num_hh_member},yes,,Number cannot be bigger than household size,,,,,,,,
integer,adult_distress_number,"69.2 If yes, how many persons above 18 years showed those signs?",??? ???? ??????? ???? ? ??? ?? ??????? ????? ??????? 18 ????? ?????? ??? ?????????,"selected(${hh_member_distress},'yes')",.<=((${num_hh_member}-${child_distress_number})),yes,,Number cannot be bigger than household size,,,,,,,,
select_one yndd,health_accessed,"70. In the last three months, has anyone in your household needed to access health services or treatment (including medicines)",?? ?????? ??????? ??????? ? ?? ????? ?? ??? ?? ????? ?????? ??? ??????? ?????? ?? ?????? (??? ?? ??? ???????),,,yes,,,,,,,,,,
select_multiple health_barriers,health_barriers,"71. What difficulties, if any, were encountered when accessing health services or treatment? ",?? ???????? ? ?? ???? ? ???? ??????? ??? ?????? ??? ??????? ?????? ?? ???????,"selected(${health_accessed},'yes')",,yes,,,,,,,,,,
end group,,,,,,,,,,,,,,,,
begin group,wash,WASH survey,????? ???????? ??????,${calc_noteligible} = 0,,,,,,,,,,,,
select_multiple water_source,drinking_water_source,72.0 What has been your household's primary source of drinking water over the past 30 days? (select all that apply),???? ??? ?????? ??????? ????? ????? ?????? ???? ??30 ???? ??????? ( ???? ???????),,,yes,,,,,,,,,,
text,drinking_water_source_other,"72.1 If other, please specify",??? ???? ?????? ?????,"selected(${drinking_water_source},'other')",,yes,,,,,,,,,,
select_one yes_no,access_private_shared_watertank,73. Does your household own either a private or shared water tank?,?? ????? ????? ???? ???? ??? ?? ??????,,,yes,,,,,,,,,,
integer,tank_capacity,74. What is your total water tank capacity (in liters)?,?? ?? ??? ???? ?????? (??????)?,"selected(${access_private_shared_watertank},'yes')",.>99 and .<8001,yes,,You cannot have a total size of less than 100 or more than 8000 liters,,,,,,,"Provide and estimate, if the respondend doesn't know input ""99""",???? ????? ???? ??????? ??? ??? ??? ?????? ?? ????? ???? ????? 99
integer,refill_times,75. How many times do you re-fill your tanks each week?,?? ??? ???? ?????? ??? ?????? ?????? ???? ??????? ???????,"selected(${access_private_shared_watertank},'yes')",.<100,yes,,,,,,,,,"Provide and estimate, if the respondend doesn't know input ""99""",???? ????? ???? ??????? ??? ??? ??? ?????? ?? ????? ???? ????? 99
integer,people_share_tank,76. How many people share this water tank?,?? ??? ??????? ????? ??????? ?? ??????? ???? ?????? ??? ( ??? ???? ????? ?????),"selected(${access_private_shared_watertank},'yes')",.<100,yes,,,,,,,,,"Provide and estimate, if the respondend doesn't know input ""99""",???? ????? ???? ??????? ??? ??? ??? ?????? ?? ????? ???? ????? 99
select_one safer_drinking,treat_drink_water_how,77.0 How do you treat your water for drinking?,??? ????? (???? ??????) ???? ????? ?????? ???,"not(selected(${drinking_water_source},'shop'))",,yes,,,,,,,,,,
text,treat_drink_water_how_other,"77.1 If other, please describe",??? ???? ?????? ?????,"selected(${treat_drink_water_how}, 'other')",,yes,,,,,,,,,,
select_multiple why_safer_drinking,treat_drink_water_why,78. Why do you feel the need to treat it ,????? ????? ??? ?????? ?????? ?? ????????,"not(selected(${drinking_water_source},'shop')) and not(selected(${treat_drink_water_how},'not_necessary'))","not(selected(.,'none') and count-selected(.)>1)",yes,,,,,,,,,,
select_multiple latrines,latrines,80.0 What kind of toilet does your household usually use?,????? ??????? ?? ???????? ???? ??????? ????? ??????,,,yes,,,,,,,,,,
text,latrines_other,"80.1 If other, please specify",??? ???? ?????? ?????,"selected(${latrines}, 'other')",,yes,,,,,,,,,,
select_one yes_no,shared_sanitation,81. Do you share this sanitation facility (latrine or toilet) with other households? ,?? ???????? ?? ??? ?????? ( ???????? ?? ???????) ?? ?? ??? ?????,"not(selected(${latrines},'none'))",,yes,,,,,,,,,,
select_one yes_no,access_hygiene_items,82.0 Do you have access to sufficient soap for the whole household?,?? ?????? ?????? ??? ????? ????? ??????,,,yes,,,,,,,,,,
select_multiple use_of_soap,use_of_soap,"82.1 If yes, what do you use it for?",??? ???? ????? ?????? ????????,"selected(${access_hygiene_items},'yes')","if(selected(.,'not'), count-selected(.)=1, count-selected(.)>=1)",yes,,,,,,,,,,
text,use_of_soap_other,"82.2 If other, please specify",??? ???? ?????? ?????,"selected(${use_of_soap}, 'other')",,yes,,,,,,,,,,
end group,,,,,,,,,,,,,,,,
begin group,s_nfi,Shelter & NFI survey,????? ??????? ????? ??????,${calc_noteligible} = 0,,,,,,,,,,,,
select_one shelter_type,shelter_type,83.0 What type of shelter is the household currently living in? (observation by enumerator),????? ?????? ???? ???? ??? ?????? ( ?? ???? ???????? ?? ??? ??????),,,yes,,,,,,,,,,
text,shelter_type_other,"83.1 If other, please describe","??? ??? ?????? ??? ,?????? ????? ","selected(${shelter_type}, 'other')",,yes,,,,,,,,,,
select_one yndd,hh_hosted,84. Is your HH currently being hosted? ,?? ????? ?????? ??????? ?? ??? ???? ?????,,,yes,,,,,,,,,,
select_one yndd,hh_risk_eviction,85.0 Is your HH presently fearing eviction?,?? ???? ????? ????? ?? ????????,,,yes,,,,,,,,,,
note,ref_evic,"This is household is presently at risk of eviction, please refer to the appropiate actor.",??? ?????? ?????? ???? ???????? ???? ?????? ??? ?????? ???????.,"selected(${hh_risk_eviction}, 'yes')",,,,,,,,,,,,
select_multiple eviction,hh_main_risks,85.1 What are the main reasons for fearing eviction?,???? ??????? ???????? ???? ??????? ??????? ???????,"selected(${hh_risk_eviction}, 'yes')",,yes,,,,,,,,,,
text,hh_main_risks_other,"85.2 If other, please describe","??? ??? ?????? ??? ,?????? ????? ","selected(${hh_main_risks}, 'other')",,yes,,,,,,,,,,
select_multiple shelter_issues,shelter_issues,86.0 What immediate issues are you facing with your current shelter (top 4)?,?? ?? ??????? ??????? ???? ??????? ?? ????? ?????? ? ??? ??? 4,,count-selected(.)<=4,yes,,You cannot select more than 3 options.,?? ???? ????? ???? ?? 4,,,,,,,
text,shelter_issues_other,"86.1 If other, please describe","??? ??? ?????? ??? ,?????? ????? ","selected(${shelter_issues}, 'other')",,,,,,,,,,,,
note,ref_mine,"This household's shelter is reported to be contaminated from explosive hazards, please refer to appropiate actor.",??? ??? ???? ?????? ????? ?? ???? ???? ???? ??????? ?????? ?????? ??? ????? ???????? ????,"selected(${shelter_issues},'uxo')",,,,,,,,,,,,
select_multiple nfi_needs,nfi_priority_needs,"87.0 Which of the following items would you need to buy because you do not have enough, or not at all of? (select max. 4)", ?? ?? ?????? ??????? ???? ????? ??? ?????? ???? ??????? ?? ???? ????? ?? ?? ???? ???? ??? ??????? ( ????? 4 ??? ????),,"not(selected(.,'none') and count-selected(.)>1) and count-selected(.)<=4",yes,,"You can select max 4 option and cannot select ""None"" and any other option.",?? ????? ????? ( ????? ) ?? ???? ???? ???? 4 ??? ????,,,,,,,
text,nfi_priority_needs_other,"87.1 If other, please describe","??? ??? ?????? ??? ,?????? ????? ","selected(${nfi_priority_needs}, 'other')",,yes,,,,,,,,,,
select_multiple shelter_better,shelter_better,88.0 What is your priority concern to make your current shelter a better place to live (top 2)?,?? ?? ????????? ??? ???????? ?????? ???? ????? ?????? ?????? ???? ????? ??? ? ???? ??? 2,,count-selected(.)<=2,,,You cannot select more than 3 options.,?? ???? ????? ???? ?? 3 ??????,,,,,,,
text,shelter_better_other,"88.1 If other, please describe","??? ??? ?????? ??? ,?????? ????? ","selected(${shelter_better}, 'other')",,yes,,,,,,,,,,
end group,,,,,,,,,,,,,,,,
begin group,education,Education survey,???????,${calc_noteligible} = 0,,,,,,,,,,,,
select_one place,primary_school_place,89. How far is the closest functioning primary school to your location?,?? ???? ???? ????? ???????? ???? ?? ??????,,,yes,,,,,,,,,30 minutes walking = 2 km (approximately),????? ??? ?? ??????? 2?? ???? ??????30  
select_one place,secondary_school_place,90.0 How far is the closest functioning secondary school to your location?,?? ???? ???? ????? ?????? ???? ?? ??????,,,yes,,,,,,,,,30 minutes walking = 2 km (approximately),????? ??? ?? ??????? 2?? ???? ??????30  
select_one education_level,education_level,90.1 What is the education level of the highest educated person in this household?,?? ?? ??????? ???????? ????? ??? ????? ?? ??? ???????,,,yes,,,,,,,,,,
end group,,,,,,,,,,,,,,,,
begin group,livelihoods,Livelihoods survey,?????? ????????,${calc_noteligible} = 0,,,,,,,,,,,,
begin group,expenses,"91.0 In total, how much Iraqi Dinars did your household spend on basic needs over the last 30 days in IQD?","???? ?????? ??30 ???????,?? ?? ????? ???????? ???? ?????? ?????? ?????? ?????????? ???????? ?????? ???????? ??????? ?",,,,,,,,field-list,,,,"Please enter the FULL IQD amount (i.e. 1,000 IQD)",?????? ????? ????? ???? ???? ???????? ??????? ( ????: 1000 ?????)
integer,rent_exp,91.1 Rent, ???????,,.=0 or .>=999 and .<= 10000000,yes,,,,,,,,,,
integer,shelter_exp,91.2 Shelter maintenance, ????? ?????? ????? ??,,.=0 or .>=999 and .<= 10000000,yes,,,,,,,,,,
integer,food_exp,91.3 Food, ??????,,.=0 or .>=999 and .<= 10000000,yes,,,,,,,,,,
integer,electric_exp,91.4 Electricity,???????? ,,.=0 or .>=999 and .<= 10000000,yes,,,,,,,,,,
integer,medical_exp,"91.5 Health (medical care, medicine, etc.)",????? ( ??????? ??????? ???????? ??????),,.=0 or .>=999 and .<= 10000000,yes,,,,,,,,,,
integer,education_exp,91.6 Education,??????? ,,.=0 or .>=999 and .<= 10000000,yes,,,,,,,,,,
integer,water_exp,91.7 Water,?????  ,,.=0 or .>=999 and .<= 10000000,yes,,,,,,,,,,
integer,adult_cloth_exp,91.8 Adult clothing,????? ????????,,.=0 or .>=999 and .<= 10000000,yes,,,,,,,,,,
integer,child_cloth_exp,91.9 Children clothing,????? ???????,,.=0 or .>=999 and .<= 10000000,yes,,,,,,,,,,
integer,nfi_exp,91.10 Other non-food (household) items,???? ??? ?????? ???? ??????,,.=0 or .>=999 and .<= 10000000,yes,,,,,,,,,,
integer,transportation_exp,91.11 Transportaion,?????????,,.=0 or .>=999 and .<= 10000000,yes,,,,,,,,,,
integer,communication_exp,91.12 Communication,?????????,,.=0 or .>=999 and .<= 10000000,yes,,,,,,,,,,
integer,debt_exp,91.13 Debt payment,???? ?????,,.=0 or .>=999 and .<= 10000000,yes,,,,,,,,,,
integer,productive_assets_exp,91.14 Productive assets,??????? ??????? ( ???????? ?? ????? ??????? ?? ????? ?????),,.=0 or .>=999 and .<= 10000000,yes,,,,,,,,,,
integer,other_payment_exp,91.15 Other payment,????? ????,,.=0 or .>=999 and .<= 10000000,yes,,,,,,,,,,
calculate,tot_expenditure,,,,,,,,,,,,,${rent_exp}+${shelter_exp}+${food_exp}+${medical_exp}+${education_exp}+${electric_exp}+${water_exp}+${debt_exp}+${adult_cloth_exp}+${child_cloth_exp}+${nfi_exp}+${communication_exp}+${transportation_exp}+${other_payment_exp},,
end group,,,,,,,,,,,,,,,,
text,payment_exp_other,91.16 Please describe on what was the other payment?,???? ??? ???? ???? ??? ???????? ??????,${other_payment_exp}>0,,yes,,,,,,,,,,
note,expenditure_note,Total expenditure in IQDs over the last 30 days on all basic needs: ${tot_expenditure},????? ???????? ???????? ??????? ???? ??30 ??? ?????? ???? ?? ?????? ??? ???? ??????????  ????????    ${tot_expenditure},,,,,,,,,,,,,
